[2026-07-09T11:31:23.822Z] GET https://fonts.gstatic.com/s/alegreyasans/v28/5aUt9_-1phKLFgshYDvh6Vwt7V9dv21TpG1Lsw.woff2 → 200 (?ms, ?B)
[2026-07-09T11:31:23.822Z] GET https://fonts.gstatic.com/s/alegreyasans/v28/5aUz9_-1phKLFgshYDvh6Vwt7VptvWdUhm8.woff2 → 200 (?ms, ?B)
[2026-07-09T11:31:23.822Z] GET https://fonts.gstatic.com/s/alegreyasans/v28/5aUu9_-1phKLFgshYDvh6Vwt5alOqEp2i0VBuxM.woff2 → 200 (?ms, ?B)
[2026-07-09T11:31:23.822Z] GET https://fonts.gstatic.com/s/alegreyasans/v28/5aUu9_-1phKLFgshYDvh6Vwt5eFIqEp2i0VBuxM.woff2 → 200 (1ms, ?B)
[2026-07-09T11:31:23.823Z] GET https://fonts.gstatic.com/s/fraunces/v38/6NU58FyLNQOQZAnv9ZwNjucMHVn85Ni7emAe9lKqZTnbB-gzTK0K1ChjeveQ7ZXk8g.woff2 → 200 (?ms, ?B)
[2026-07-09T11:31:23.823Z] GET https://fonts.gstatic.com/s/fraunces/v38/6NU78FyLNQOQZAnv9bYEvDiIdE9Ea92uemAk_WBq8U_9v0c2Wa0KxC9TeP2Xz5c.woff2 → 200 (2ms, ?B)
[2026-07-09T11:31:23.825Z] GET https://fonts.gstatic.com/s/yellowtail/v25/OZpGg_pnoDtINPfRIlLohlvHwWL9f4k.woff2 → 200 (?ms, ?B)
[2026-07-09T11:31:23.831Z] GET http://localhost:4870/assets/paul_sq.jpg → 304 (2ms, ?B)
[2026-07-09T11:31:23.832Z] GET http://localhost:4870/assets/directorhodl_sq.jpg → 304 (1ms, ?B)
[2026-07-09T11:31:23.832Z] GET http://localhost:4870/assets/govinda_sq.jpg → 304 (1ms, ?B)
[2026-07-09T11:31:25.084Z] GET http://localhost:4870/assets/favicon-32.png → 200 (7ms, 1485B)
[2026-07-09T11:31:25.091Z] GET https://video.nostr.build/404c8c4489d61bcb5a5df94bb221ae78c50b8ac104987db67d6fcb1cff3a297d.mov → 206 (1ms, ?B)
[2026-07-09T11:31:25.092Z] GET https://blossom.primal.net/a0499a4f1dde4a3869f0fb9679e8d128d594847ce76f8e114996d667fd12d26b.mov → 302 (430ms, ?B)
[2026-07-09T11:31:25.092Z] GET https://blossom.primal.net/a0499a4f1dde4a3869f0fb9679e8d128d594847ce76f8e114996d667fd12d26b.mov → 302 (347ms, ?B)
[2026-07-09T11:31:25.092Z] GET https://blossom.primal.net/350610436890b4b46777150e6a61f0bce24c77662feda67c65f47b371920623a.mp4 → 302 (347ms, ?B)
[2026-07-09T11:31:25.439Z] GET https://r2a.primal.net/uploads2/a/04/99/a0499a4f1dde4a3869f0fb9679e8d128d594847ce76f8e114996d667fd12d26b.mov → 206 (?ms, ?B)
[2026-07-09T11:31:25.439Z] GET https://r2a.primal.net/uploads2/3/50/61/350610436890b4b46777150e6a61f0bce24c77662feda67c65f47b371920623a.mp4 → 206 (?ms, ?B)
