[2026-07-09T12:20:16.743Z] GET http://localhost:4870/assets/directorhodl_sq.jpg → 200 (?ms, 33394B)
[2026-07-09T12:20:16.743Z] GET http://localhost:4870/assets/govinda_sq.jpg → 200 (?ms, 44798B)
[2026-07-09T12:20:16.743Z] POST https://cache1.primal.net/api/ → pending (?ms, ?B)
[2026-07-09T12:20:16.744Z] GET https://fonts.gstatic.com/s/alegreyasans/v28/5aUt9_-1phKLFgshYDvh6Vwt7V9dv21TpG1Lsw.woff2 → 200 (?ms, ?B)
[2026-07-09T12:20:16.744Z] GET https://fonts.gstatic.com/s/alegreyasans/v28/5aUz9_-1phKLFgshYDvh6Vwt7VptvWdUhm8.woff2 → 200 (?ms, ?B)
[2026-07-09T12:20:16.744Z] GET https://fonts.gstatic.com/s/alegreyasans/v28/5aUu9_-1phKLFgshYDvh6Vwt5alOqEp2i0VBuxM.woff2 → 200 (?ms, ?B)
[2026-07-09T12:20:16.744Z] GET https://fonts.gstatic.com/s/alegreyasans/v28/5aUu9_-1phKLFgshYDvh6Vwt5eFIqEp2i0VBuxM.woff2 → 200 (?ms, ?B)
[2026-07-09T12:20:16.744Z] GET https://fonts.gstatic.com/s/fraunces/v38/6NU58FyLNQOQZAnv9ZwNjucMHVn85Ni7emAe9lKqZTnbB-gzTK0K1ChjeveQ7ZXk8g.woff2 → 200 (?ms, ?B)
[2026-07-09T12:20:16.745Z] GET https://fonts.gstatic.com/s/fraunces/v38/6NU78FyLNQOQZAnv9bYEvDiIdE9Ea92uemAk_WBq8U_9v0c2Wa0KxC9TeP2Xz5c.woff2 → 200 (?ms, ?B)
[2026-07-09T12:20:16.745Z] GET https://fonts.gstatic.com/s/yellowtail/v25/OZpGg_pnoDtINPfRIlLohlvHwWL9f4k.woff2 → 200 (?ms, ?B)
[2026-07-09T12:20:16.752Z] GET http://localhost:4870/assets/trailer_web.mp4 → 200 (2ms, ?B)
[2026-07-09T12:20:17.668Z] GET http://localhost:4870/assets/favicon-32.png → 200 (?ms, 1485B)
[2026-07-09T12:20:17.674Z] GET https://blossom.primal.net/a0499a4f1dde4a3869f0fb9679e8d128d594847ce76f8e114996d667fd12d26b.mov → 302 (147ms, ?B)
[2026-07-09T12:20:17.674Z] GET https://blossom.primal.net/a0499a4f1dde4a3869f0fb9679e8d128d594847ce76f8e114996d667fd12d26b.mov → 302 (76ms, ?B)
[2026-07-09T12:20:17.674Z] GET https://blossom.primal.net/350610436890b4b46777150e6a61f0bce24c77662feda67c65f47b371920623a.mp4 → 302 (84ms, ?B)
[2026-07-09T12:20:17.676Z] GET https://video.nostr.build/404c8c4489d61bcb5a5df94bb221ae78c50b8ac104987db67d6fcb1cff3a297d.mov → 206 (92ms, ?B)
[2026-07-09T12:20:17.750Z] GET https://r2a.primal.net/uploads2/a/04/99/a0499a4f1dde4a3869f0fb9679e8d128d594847ce76f8e114996d667fd12d26b.mov → pending (?ms, ?B)
[2026-07-09T12:20:17.758Z] GET https://r2a.primal.net/uploads2/3/50/61/350610436890b4b46777150e6a61f0bce24c77662feda67c65f47b371920623a.mp4 → 206 (100ms, ?B)
[2026-07-09T12:20:17.821Z] GET https://r2a.primal.net/uploads2/a/04/99/a0499a4f1dde4a3869f0fb9679e8d128d594847ce76f8e114996d667fd12d26b.mov → 206 (262ms, ?B)
[2026-07-09T12:32:10.947Z] GET https://open.spotify.com/show/7nOgML3EfizW3S7Aqsl1AR → 200 (642ms, 20299B)
[2026-07-09T12:32:11.594Z] GET https://encore.scdn.co/fonts/SpotifyMixUI-Regular-76c92fb1a35c462f73429fa8865163eb.woff2 → pending (?ms, ?B)
[2026-07-09T12:32:11.594Z] GET https://encore.scdn.co/fonts/SpotifyMixMono-Regular-134eeb986fc0f94a9f0acb9cedaeb584.woff2 → pending (?ms, ?B)
[2026-07-09T12:32:11.594Z] GET https://encore.scdn.co/fonts/SpotifyMixUITitleVariable-08bab3354d40f74e5177917b5ae80894.woff2 → pending (?ms, ?B)
[2026-07-09T12:32:11.594Z] GET https://encore.scdn.co/fonts/SpotifyMixUI-Bold-09c45a3a0ce9d2971e62cb26e97760fb.woff2 → pending (?ms, ?B)
[2026-07-09T12:32:11.594Z] GET https://open.spotifycdn.com/cdn/build/web-player/web-player.d47875ed.css → pending (?ms, ?B)
[2026-07-09T12:32:11.594Z] GET https://open.spotifycdn.com/cdn/generated-locales/web-player/en.640211f5.json → pending (?ms, ?B)
